player_name,surface,total_partidas,percentual_vitorias,media_ace_pct,media_df_pct
Aaron Krickstein,Carpet,32,0.4375,0.059675314899855204,0.02422434239096947
Aaron Krickstein,Clay,47,0.48936170212765956,0.042524473710263445,0.02695916059604721
Aaron Krickstein,Hard,139,0.5971223021582733,0.0545619121771616,0.02735967953102515
Adrian Mannarino,Clay,76,0.21052631578947367,0.03318543772365051,0.029733940851202578
Adrian Mannarino,Grass,121,0.5785123966942148,0.06661638586223721,0.03669348207656383
Adrian Mannarino,Hard,447,0.4809843400447427,0.06583980837944574,0.03222380662109549
Adrian Ungur,Clay,27,0.2222222222222222,0.02596429766531821,0.0477880755854681
Adrian Voinea,Carpet,26,0.34615384615384615,0.09324069031165581,0.04102629434437802
Adrian Voinea,Clay,139,0.4676258992805755,0.05472946081056566,0.03868600083950729
Adrian Voinea,Hard,108,0.4351851851851852,0.07845814976195964,0.04157596041830036
Agustin Calleri,Clay,216,0.5925925925925926,0.09071530219582723,0.039974584810390595
Agustin Calleri,Hard,140,0.45,0.09938837019377787,0.05192120080315669
Albert Costa,Carpet,29,0.27586206896551724,0.06946582781293244,0.03719094018446783
Albert Costa,Clay,395,0.6632911392405063,0.03856919801139389,0.02339735773385271
Albert Costa,Hard,202,0.4900990099009901,0.05501205291549836,0.029180969534567072
Albert Montanes,Clay,394,0.5304568527918782,0.046033997192133407,0.043148912419269825
Albert Montanes,Hard,122,0.29508196721311475,0.044643200811570076,0.04706848901595787
Albert Portas,Clay,264,0.4734848484848485,0.050894385649673954,0.0461367453963155
Albert Portas,Hard,49,0.22448979591836735,0.0768586029502292,0.05324632876678595
Albert Ramos,Clay,372,0.5376344086021505,0.036070075087943076,0.02770719793946592
Albert Ramos,Grass,25,0.24,0.05096223021164923,0.03751245465881939
Albert Ramos,Hard,212,0.3443396226415094,0.05011313143370735,0.03580674985052549
Alberto Berasategui,Carpet,24,0.2916666666666667,0.04357571905088573,0.045435107704072934
Alberto Berasategui,Clay,366,0.6475409836065574,0.020803834464890373,0.03339585047395872
Alberto Berasategui,Hard,76,0.40789473684210525,0.022944044286516203,0.04556864295562151
Alberto Mancini,Clay,78,0.5256410256410257,0.03437184963254607,0.023902579777169388
Alberto Mancini,Hard,40,0.45,0.03921539165152748,0.034771554623453334
Alberto Martin,Clay,301,0.5182724252491694,0.025963364705877803,0.042151959734881096
Alberto Martin,Grass,23,0.30434782608695654,0.03903584945817786,0.04118857138616149
Alberto Martin,Hard,152,0.34868421052631576,0.028962323411498934,0.05486481862799261
Alejandro Davidovich Fokina,Clay,79,0.5189873417721519,0.023677680910133937,0.033854921169489564
Alejandro Davidovich Fokina,Hard,134,0.48507462686567165,0.0469333438608587,0.029024715230372644
Alejandro Falla,Clay,51,0.35294117647058826,0.03130104229098588,0.024370574627760058
Alejandro Falla,Grass,41,0.3902439024390244,0.04863833275390269,0.030902489460295026
Alejandro Falla,Hard,159,0.37735849056603776,0.044935321553607334,0.040068701761935804
Alejandro Gonzalez,Clay,22,0.22727272727272727,0.04466966874439934,0.03378418941855008
Alejandro Gonzalez,Hard,30,0.3,0.04717193513545754,0.03717331236585152
Alejandro Hernandez,Clay,25,0.44,0.05695850207097553,0.05590517739180661
Alejandro Tabilo,Clay,44,0.5454545454545454,0.06589045194466225,0.030590505455540172
Alejandro Tabilo,Hard,52,0.46153846153846156,0.10465346086687743,0.03617654242080656
Alejo Mancisidor,Clay,20,0.1,0.02050293772359455,0.04980480322040649
Aleksandar Kovacevic,Hard,35,0.37142857142857144,0.12495361796064974,0.042093459625616045
Aleksandar Vukic,Hard,63,0.42857142857142855,0.11451212411474875,0.023885650090625057
Alessandro Giannessi,Clay,28,0.39285714285714285,0.03525262420357748,0.04669321725580787
Alessio Di Mauro,Clay,43,0.32558139534883723,0.045989175488415905,0.02672217911738341
Alex Antonitsch,Carpet,31,0.3548387096774194,0.05868325741350948,0.04061746253060085
Alex Antonitsch,Hard,63,0.42857142857142855,0.05784352179841668,0.037641678304910796
Alex Bogdanovic,Grass,32,0.28125,0.06974807681272382,0.03664621959272662
Alex Bogomolov Jr,Grass,25,0.44,0.025707697726353985,0.03604768653851442
Alex Bogomolov Jr,Hard,135,0.4148148148148148,0.02957469848984404,0.03770309024946969
Alex Bolt,Hard,35,0.37142857142857144,0.08884335200801309,0.03572669397015271
Alex Calatrava,Clay,109,0.41284403669724773,0.07406882725485474,0.027275552715549708
Alex Calatrava,Hard,51,0.4117647058823529,0.08849221585903756,0.023581185386693234
Alex Corretja,Carpet,31,0.3225806451612903,0.08558339761910957,0.034150230451836884
Alex Corretja,Clay,425,0.6564705882352941,0.03976054418892241,0.028065652404308698
Alex Corretja,Hard,228,0.5657894736842105,0.057717443131814705,0.032155602991798954
Alex De Minaur,Clay,61,0.47540983606557374,0.029464725158402812,0.03050277156746459
Alex De Minaur,Grass,49,0.6530612244897959,0.05151002447500544,0.03722466863183975
Alex De Minaur,Hard,286,0.6363636363636364,0.0553786775362583,0.03101033521943878
Alex Kim,Hard,27,0.25925925925925924,0.027330759142024572,0.03502967073381869
Alex Kuznetsov,Hard,28,0.21428571428571427,0.09956446564833253,0.03959342838661479
Alex Lopez Moron,Clay,49,0.3673469387755102,0.02431253138829893,0.0500964184479335
Alex Michelsen,Hard,54,0.5370370370370371,0.06547626564352249,0.031534076571864834
Alex Molcan,Clay,47,0.6170212765957447,0.03540655974653541,0.026510049176918633
Alex Molcan,Hard,35,0.4,0.05221428011986053,0.03844659963141082
Alex Obrien,Clay,29,0.27586206896551724,0.04785989043656076,0.03021489908213785
Alex Obrien,Grass,31,0.41935483870967744,0.05480993740226995,0.043451714454612995
Alex Obrien,Hard,143,0.42657342657342656,0.05406542884645497,0.029741759196059297
Alex Radulescu,Hard,50,0.44,0.1253433350531821,0.04054176817065229
Alexander Bublik,Clay,49,0.3877551020408163,0.11329568470125391,0.08086203519803352
Alexander Bublik,Grass,52,0.6346153846153846,0.19648039661048308,0.0817187886317304
Alexander Bublik,Hard,192,0.5052083333333334,0.148715722676629,0.0843278640073628
Alexander Mronz,Carpet,34,0.4117647058823529,0.09561646492012303,0.03285028737124312
Alexander Mronz,Hard,65,0.36923076923076925,0.06906245998940698,0.044890496846359255
Alexander Peya,Clay,22,0.2727272727272727,0.04476973350323202,0.055618806019637874
Alexander Peya,Hard,21,0.2857142857142857,0.05886314953734996,0.05666443502071504
Alexander Popp,Clay,26,0.19230769230769232,0.03137250272961167,0.07295145756564751
Alexander Popp,Grass,38,0.631578947368421,0.054480865273023184,0.04649006104925017
Alexander Popp,Hard,41,0.36585365853658536,0.06092528994346255,0.06007860555804829
Alexander Shevchenko,Clay,27,0.4074074074074074,0.04392168493053605,0.0302149730676726
Alexander Shevchenko,Hard,53,0.4716981132075472,0.07201916574852077,0.032717634206812556
Alexander Volkov,Carpet,111,0.5675675675675675,0.06964653725208997,0.033939360494598614
Alexander Volkov,Clay,59,0.423728813559322,0.04070738884458505,0.0387849433451832
Alexander Volkov,Grass,43,0.5813953488372093,0.06598698401903373,0.06896582757476329
Alexander Volkov,Hard,171,0.5847953216374269,0.0603713453077749,0.04397093519239325
Alexander Waske,Clay,42,0.3333333333333333,0.09220582332510802,0.04703251853017839
Alexander Waske,Hard,26,0.23076923076923078,0.12741426731116487,0.051784125252004494
Alexander Zverev,Clay,204,0.7352941176470589,0.08634241673453066,0.045962329667230614
Alexander Zverev,Grass,59,0.6610169491525424,0.13489413136557038,0.040755126683892265
Alexander Zverev,Hard,383,0.6814621409921671,0.11951731994502426,0.04622583509343616
Alexandr Dolgopolov,Clay,121,0.5041322314049587,0.08141227866109123,0.029375072538175544
Alexandr Dolgopolov,Grass,42,0.5476190476190477,0.12652797440952168,0.039485543746203285
Alexandr Dolgopolov,Hard,249,0.5220883534136547,0.1060146832569433,0.0373978529468365
Alexandre Muller,Clay,27,0.4444444444444444,0.03779229806877083,0.02610343206756466
Alexandre Muller,Hard,35,0.37142857142857144,0.05363279953572038,0.02376491126532122
Alexei Popyrin,Clay,43,0.46511627906976744,0.08688422492163966,0.03731574020934928
Alexei Popyrin,Grass,20,0.3,0.11937093608649077,0.03309444753950269
Alexei Popyrin,Hard,141,0.475177304964539,0.11692940492116231,0.0428659711654978
Aljaz Bedene,Clay,124,0.49193548387096775,0.08207821901884226,0.03351133778572387
Aljaz Bedene,Grass,35,0.37142857142857144,0.12475948370416096,0.027890046649811217
Aljaz Bedene,Hard,132,0.4393939393939394,0.1243286794043322,0.04300277794477602
Amer Delic,Hard,63,0.3492063492063492,0.11798063340342133,0.035166762031975204
Amos Mansdorf,Carpet,41,0.4146341463414634,0.052295018940123075,0.030952069879382378
Amos Mansdorf,Hard,136,0.6102941176470589,0.05174759731177575,0.022687741635351394
Anders Jarryd,Carpet,78,0.6153846153846154,0.06370330433357212,0.04777127118794821
Anders Jarryd,Grass,24,0.4583333333333333,0.03543849293343878,0.06197069693577218
Anders Jarryd,Hard,48,0.3333333333333333,0.04609933696172027,0.044445718692055415
Andre Agassi,Carpet,66,0.6818181818181818,0.0687275013725249,0.03247705174745922
Andre Agassi,Clay,130,0.6846153846153846,0.04254002036129908,0.02886001066149506
Andre Agassi,Grass,66,0.7424242424242424,0.06586298743462415,0.03336081241048517
Andre Agassi,Hard,587,0.7955706984667802,0.07037577025011268,0.031632075202561775
Andre Sa,Clay,40,0.225,0.016710010180373925,0.05835958206778643
Andre Sa,Grass,25,0.4,0.0447337242760724,0.03624026411032182
Andre Sa,Hard,63,0.4126984126984127,0.041353047801555035,0.03710298650837326
Andrea Gaudenzi,Carpet,28,0.32142857142857145,0.04497617418420246,0.04062418926954795
Andrea Gaudenzi,Clay,275,0.5563636363636364,0.0298862362250303,0.04237321895905291
Andrea Gaudenzi,Hard,106,0.3584905660377358,0.034047518740011704,0.05330128269672153
Andreas Beck,Clay,51,0.35294117647058826,0.04130161491172012,0.04968142502262354
Andreas Beck,Hard,37,0.3783783783783784,0.06780991414767702,0.048593330170834025
Andreas Haider Maurer,Clay,59,0.3898305084745763,0.06700612591478439,0.057152480252230346
Andreas Haider Maurer,Hard,40,0.3,0.09279752750190176,0.06956818625464573
Andreas Seppi,Clay,247,0.48582995951417,0.04643098072079227,0.033441205473810645
Andreas Seppi,Grass,112,0.5625,0.07533462344949853,0.027242322028901412
Andreas Seppi,Hard,403,0.45161290322580644,0.06530665696504166,0.03571463496083666
Andreas Vinciguerra,Clay,65,0.4461538461538462,0.04489409959034053,0.03313165755411337
Andreas Vinciguerra,Hard,92,0.5108695652173914,0.06275421366811117,0.033034947174641976
Andrei Cherkasov,Carpet,59,0.4745762711864407,0.046148442539503017,0.028669328236491935
Andrei Cherkasov,Clay,96,0.3958333333333333,0.02594240682127147,0.026773637539425157
Andrei Cherkasov,Hard,113,0.4690265486725664,0.029349960005618125,0.03429876463910205
Andrei Chesnokov,Carpet,56,0.4642857142857143,0.055076282518620547,0.037834808010837204
Andrei Chesnokov,Clay,127,0.5590551181102362,0.025540015333268,0.03457930220945136
Andrei Chesnokov,Hard,116,0.5,0.03599595351548271,0.033726724162338184
Andrei Medvedev,Carpet,78,0.5256410256410257,0.08410956543320319,0.04560127964297043
Andrei Medvedev,Clay,240,0.6541666666666667,0.05275551213965855,0.036940258477692195
Andrei Medvedev,Grass,33,0.45454545454545453,0.08984361105348518,0.06238124569677789
Andrei Medvedev,Hard,147,0.5578231292517006,0.07968528906564568,0.04679451399098856
Andrei Olhovskiy,Carpet,78,0.5384615384615384,0.13846350879014968,0.05404182938397663
Andrei Olhovskiy,Clay,44,0.3181818181818182,0.06840327211233567,0.055262597134320295
Andrei Olhovskiy,Grass,37,0.4864864864864865,0.07716476972338593,0.057044192903187026
Andrei Olhovskiy,Hard,70,0.3,0.07657481328410934,0.04887411092988606
Andrei Pavel,Carpet,48,0.4583333333333333,0.08441944867587521,0.033535575946531206
